filename,duration_v1,duration_c1,duration_v2,duration,f0_v1_mp,f0_v2_mp,in_v1_mp,in_c1_mp,in_v2_mp,f0_00,f0_05,f0_10,f0_15,f0_20,f0_25,f0_30,f0_35,f0_40,f0_45,f0_50,f0_55,f0_60,f0_65,f0_70,f0_75,f0_80,f0_85,f0_90,f0_95,f0_100,in_00,in_05,in_10,in_15,in_20,in_25,in_30,in_35,in_40,in_45,in_50,in_55,in_60,in_65,in_70,in_75,in_80,in_85,in_90,in_95,in_100
buscas_obras_sergio,0.03369708738962071,0.1070030318863395,0.0792177142141961,0.22937666503812,69.97383986245306,121.5741369680334,76.95381826690824,73.95258265536249,83.23679500885177,58.832465365208186,67.65497007217438,69.93333233260658,59.37223078342695,59.24181079036831,NA,NA,NA,NA,NA,NA,NA,NA,148.1663128874348,136.0907150729104,127.43775302134064,123.5499609171107,120.16923502082332,118.4815892971187,116.4256755901072,113.71764880249412,73.8678891134065,76.614815624465,76.85925920961054,74.40919370234856,72.14171934832913,71.92810688567874,71.86219676684742,72.87345875993846,74.04154161494797,73.40101038904263,71.92026439619221,70.30036933356232,71.34997313851161,79.13572273330888,81.85986765151006,82.26561975094334,82.9282588222711,83.34508256587863,82.80404546007358,81.0170425856695,77.83114366953622
buscas_obras_txell,0.11333050995832872,0.08368008584132419,0.11991949309544092,0.32615466528705084,168.5473600930461,158.25695404997165,79.16234304179922,63.096037925374695,84.60567956757592,NA,178.85987397642128,174.44589834274484,171.36351771609878,164.41875094665858,157.71846485797337,156.7022030574125,157.9682064669115,160.50138290411604,157.0067562475102,155.36527256457734,187.65450989040377,188.8386272764937,159.04492849290125,160.61005418102238,159.84697352405803,158.8928525934914,157.2287940275002,158.23172079935492,157.6410816353289,158.5148951193589,73.49138950654564,80.23069860348194,80.39287599255597,78.88369891698488,80.1731570164445,81.25101229260204,79.34290860340636,74.57088458131373,69.83809188527721,65.11644922750826,62.8291929103342,61.091443864899176,67.38610316712727,77.68252836399047,81.9080171320572,83.39961431901018,84.48435621753848,84.906986699088435,84.58063150916465,82.9025443991664,81.20699830179092
era_sancho_alejandro,0.08065017172790795,0.09437006812604942,0.08128025119453225,0.26400329651557364,118.23007726045608,117.71198238853688,76.77353346972396,60.55998453711388,74.11381666338517,120.7928233547647,122.09193483176357,119.8018554162257,118.26662450591022,117.84987260709578,118.2558786290588,117.99847693614817,118.56853220417646,NA,NA,NA,NA,NA,NA,142.32526420664558,135.12146236249788,119.9716219574948,117.63618811177447,116.85602149978622,116.3147706036778,116.19773909333924,77.09374654505969,77.49365444951128,76.25166741523121,76.73379384985655,76.53486327595371,73.58343523734733,67.62471132608366,64.48509352536675,64.10765567501782,62.45653100422688,60.479189577814026,59.17352836343098,56.22462129915783,58.700687372281124,68.26820267227319,71.99682796692603,73.2346055217021,74.13603209508796,73.70256398644877,72.36500970375998,70.5269193770856
era_sancho_cristina,0.10618421836548206,0.15075537175346215,0.10749513464159904,0.37688842938365535,205.50022770718783,174.18891709253558,83.21343227742354,71.95218589294203,77.55156332905709,240.09318099714,226.36709327950456,212.2751894590541,204.3490643279267,202.6555832961897,203.00068218019936,197.25587980017187,NA,NA,NA,NA,NA,NA,NA,241.1457500189261,191.72508704688764,183.28976220220696,175.04944041323014,170.89740679892094,84.44599411378385,84.30301282636115,84.81734961529152,85.36206244994618,84.44730987543345,83.03490709027473,81.87500239106932,78.78544857737181,74.38848943674911,76.47479935887317,73.1031306300208,71.79218250451379,71.85186823778587,69.41104882293264,67.75849361348212,65.7033342859847,74.85122264226895,79.33296452333508,78.86397608202903,77.76248034533872,76.67669911360555,74.96425298626737,74.7065619334487
era_sancho_david,0.06354063418698883,0.1144496965175281,0.05023920624724265,0.2335883856181321,119.36901080838972,114.45655639535472,81.87480838560234,74.97208088536225,78.69939615856694,128.70509228286613,125.457415127508,121.49413493687724,118.37900338851288,116.33491370539164,114.6122632222753,114.17077476884327,115.23141772163564,117.0106969541458,117.2996762195271,NA,NA,NA,NA,NA,NA,159.25056676741113,119.07772958694017,114.565308478689,115.2202657280033,115.62454038365124,81.75524268381332,82.69194522850988,82.47189400897642,81.4269253436104,78.45433378425413,74.6936979578416,73.41055317629994,72.8369901837666,71.85830419306463,73.36437802094201,74.82782539746775,75.07196652357145,74.81733704534382,71.54450318305905,67.27633295007627,68.129749693838,74.37486598914012,77.6155317297933,78.76366538038552,78.56261068827064,78.06890627519702
era_sancho_lola,0.06053463896026345,0.09596954957114942,0.1471533093424291,0.30759471016394035,198.4198605190575,173.1649476326299,79.24281743480633,73.53408497753517,72.4368595066841,205.4410479949249,201.67842786809695,198.3343750839022,196.0158261738161,192.3591464447222,190.5653167630533,188.99605097513407,NA,NA,NA,NA,191.0766571738669,184.36261853619305,181.32083696590968,178.78772304484477,174.2848966481344,170.38695915016692,166.36829735498978,163.34492866264213,160.23909575380307,157.3635838354664,83.06011306165243,81.73711581136202,79.11792273561827,75.85848339596438,73.40089833013107,71.1000716010377,74.09076846345384,73.81635854351164,71.87464529896432,69.88715405297435,67.77356528281439,72.61140487339689,73.69047683234987,73.35721547807191,73.01920697202738,72.45642393848699,71.90863791007253,69.36239434455318,67.19871343886625,65.67716793604127,63.70022168455807
era_sancho_sergio,0.05024778294882788,0.08658079523490339,0.04947474013423053,0.19557983209313007,151.51179815797775,119.46262049215552,80.95018041415065,71.04211293570957,74.52600006363339,161.36413710699452,160.67206842182114,154.4191781616964,150.07444948873876,142.58280787880642,137.9704414964207,127.6429930745303,121.15671596393248,118.01896214452567,NA,NA,NA,NA,NA,NA,NA,NA,134.75279310840773,115.7547497325102,115.65118821349166,115.78418166306164,80.6752411334414,82.32037688256119,81.86535557296439,80.0141973476322,77.26115035574499,73.72560715600842,69.90109826252528,67.34611233190523,67.34025611265804,69.59693594128771,71.2782307333269,72.48428717663816,72.70251107934111,71.0931928657422,69.01833300187599,68.60732091075643,70.8902060783091,73.42719803127974,75.3791260187895,74.78613020936933,71.94893006141676
era_sancho_txell,0.06520471264445812,0.14686886731567264,0.0930591529974305,0.31905995313404745,181.2770104420138,160.64393190766245,82.81320009053744,62.916340711605024,80.40557138748807,195.88479471607528,189.15598048323793,181.56620557884224,177.69533701464982,176.4276899835449,169.64875185609773,158.7561481601602,160.30610657046336,160.55895667949366,169.97804613304808,144.0614607089907,NA,NA,NA,187.2056873545163,172.30010753832167,167.36897999777443,161.03759483272762,158.3827884163592,156.97567292672773,155.83495748362154,84.52890663828717,83.801433606775,82.80566944015902,81.21848436286466,76.87734251765777,73.84146659746325,74.04364000829969,71.41750024363107,66.18566705161986,62.50119374371127,58.68994699070328,55.12158055099935,53.70192468965209,59.22791041931966,72.72361985788451,77.00422208772838,78.40827422814017,80.19562694378207,82.00095663868198,82.73711515849293,83.33469921472218
eras_ancho_alejandro,0.06137864709257842,0.08883727343905928,0.09804641029074213,0.2574714676740627,126.09766990006756,118.38167795066748,82.01368704894314,64.9339839570085,78.09639418142235,128.85651203348334,127.2513321820512,126.00157271598984,126.44274168583246,126.847030014907,126.89439671723564,126.42640583307428,126.4928458868948,NA,NA,NA,NA,163.6231252492048,150.82603897519618,125.55036445643978,120.74327345533916,118.75220879743851,117.23402460053536,117.20517334608093,117.7948204543762,117.57429118439624,82.29982639907553,82.08633296076304,82.0927854986796,81.66970613096399,79.53973926934077,74.31642035220428,69.57279542997468,68.23556194781666,65.68688751459825,64.892790500943,65.32610828930595,63.562475877466326,71.32992031135173,77.93307583904985,79.29444008960128,78.93010140111895,78.2769739532375,77.07652971684442,76.18811258962951,75.04937080751354,73.90255955091072
eras_ancho_cristina,0.09027445984557664,0.11462460116046692,0.16665307306121102,0.3825755161007477,190.95655203544,185.6729113735256,82.78718097874251,69.09518389514189,79.14911465140914,194.1787292021091,190.852986058586,190.9241068063312,191.56079717523977,190.6377902302944,183.92665689344588,NA,NA,NA,NA,NA,60.80944233399383,64.15253323277834,86.65949691253445,189.0341948281924,186.902143464633,185.0217514546597,184.10774928027,183.89273868881892,182.8451640711292,180.6615972056823,84.21754368932596,83.59985732386266,83.12867641562181,81.80290269333113,78.68906586004239,73.66872216445074,74.75892802598374,71.0050026402826,69.09102590632881,71.35925324497316,71.07296490369168,74.26897121232865,78.46752981116352,78.26370046783958,78.38600746455411,78.69835701538412,79.40623661900081,79.68220404335325,79.40739229449788,78.8969172885515,77.83440760514345
